metric	column	sample_index_in_column	value
rRNA content (% of mapped)	Hek control	2	16.01
rRNA content (% of mapped)	Hek control	3	18.74
rRNA content (% of mapped)	CADM1 1nM	1	13.42
rRNA content (% of mapped)	CADM1 1nM	2	12.4
rRNA content (% of mapped)	CADM1 1nM	3	15
rRNA content (% of mapped)	CADM1 100nM	1	10.38
rRNA content (% of mapped)	CADM1 100nM	2	11.63
rRNA content (% of mapped)	CADM1 100nM	3	13.23
rRNA content (% of mapped)	CHX dose 1ug mL	1	25.05
rRNA content (% of mapped)	CHX dose 1ug mL	2	14.16
rRNA content (% of mapped)	CHX dose 1ug mL	3	14.83
rRNA content (% of mapped)	CHX dose 50ug mL	1	20.32
rRNA content (% of mapped)	CHX dose 50ug mL	2	19.45
rRNA content (% of mapped)	CHX dose 50ug mL	3	17.54
rRNA content (% of mapped)	Ris dose 25mM	1	16.77
rRNA content (% of mapped)	Ris dose 25mM	2	30.91
rRNA content (% of mapped)	Ris dose 25mM	3	19.31
rRNA content (% of mapped)	Ris dose 500mM	1	46.25
rRNA content (% of mapped)	Ris dose 500mM	2	43.64
rRNA content (% of mapped)	Ris dose 500mM	3	50.76
rRNA content (% of mapped)	RAW 264.7	1	21.44
rRNA content (% of mapped)	RAW 264.7	2	20.64
rRNA content (% of mapped)	RAW 264.7	3	10.07
mRNA fraction (% of mapped)	DRUG-seq	1	51.7281
mRNA fraction (% of mapped)	DRUG-seq	2	50.9719
mRNA fraction (% of mapped)	DRUG-seq	3	54.4573
mRNA fraction (% of mapped)	DRUG-seq	4	51.1433
mRNA fraction (% of mapped)	DRUG-seq	5	51.3637
mRNA fraction (% of mapped)	DRUG-seq	6	54.5699
mRNA fraction (% of mapped)	DRUG-seq	7	52.2755
mRNA fraction (% of mapped)	DRUG-seq	8	51.7597
mRNA fraction (% of mapped)	DRUG-seq	9	55.0369
